name,est,std
muEsp,0.018295,0.0013636
muEsp,0.025358,0.0018104
muEsp,0.066255,0.0046505
muEsp,0.10538,0.0074636
muEsp,0.073694,0.005311
muEsp,0.096194,0.0071393
muEsp,0.064604,0.0049117
muEsp,0.067412,0.0053505
muEsp,0.039713,0.0033266
muEsp,0.037177,0.0031812
muEsp,0.038621,0.0033714
muEsp,0.037094,0.0032859
muEsp,0.048539,0.0042383
muEsp,0.053448,0.0045864
muEsp,0.055648,0.0047258
muEsp,0.063406,0.0054224
muEsp,0.075462,0.0064934
muEsp,0.068696,0.0059833
muEsp,0.071373,0.0060951
muEsp,0.069788,0.0058259
muEsp,0.068883,0.0058057
muEsp,0.072933,0.0061694
muEsp,0.08586,0.0073079
muEsp,0.083458,0.0071598
muEsp,0.072705,0.0063525
muEsp,0.063567,0.0057563
muEsp,0.039076,0.0036005
muEsp,0.031345,0.0029492
muEsp,0.03141,0.0030563
muEsp,0.021586,0.0021777
muEsp,0.039874,0.0040861
muEsp,0.038241,0.0040791
muEsp,0.035212,0.004003
muEsp,0.036884,0.0044582
muEsp,0.03316,0.0043925
BDp,141400,21174
BDp,141400,21174
BDp,141400,21174
BDp,141400,21174
BDp,133950,22096
BDp,133950,22096
BDp,133950,22096
BDp,133950,22096
BDp,145200,23349
BDp,135020,21421
BDp,133950,21226
BDp,131330,20755
BDp,162730,25014
BDp,138600,20821
BDp,136290,20457
BDp,130770,19617
BDp,179250,26535
BDp,142210,20729
BDp,138890,20281
BDp,131130,19280
Yproy,28289,2304.5
Yproy,28289,2304.5
Yproy,28289,2304.5
Yproy,28289,2304.5
Yproy,29517,2011.4
Yproy,29517,2011.4
Yproy,29517,2011.4
Yproy,29517,2011.4
Yproy,0.00020515,4.9911e-05
Yproy,17447,4162.2
Yproy,19267,4586.6
Yproy,23720,5617.2
Yproy,0.00023443,5.4077e-05
Yproy,17852,3848.5
Yproy,19491,4173.1
Yproy,23335,4913.5
Yproy,0.00026308,5.7556e-05
Yproy,18252,3610.8
Yproy,19745,3868
Yproy,23129,4424.6
Fproy,0.3725,0.091986
Fproy,0.3725,0.091986
Fproy,0.3725,0.091986
Fproy,0.3725,0.091986
Fproy,0.38367,0.094746
Fproy,0.38367,0.094746
Fproy,0.38367,0.094746
Fproy,0.38367,0.094746
Fproy,2.57e-09,0
Fproy,0.2313,0
Fproy,0.257,0
Fproy,0.32125,0
Fproy,2.57e-09,0
Fproy,0.2313,0
Fproy,0.257,0
Fproy,0.32125,0
Fproy,2.57e-09,0
Fproy,0.2313,0
Fproy,0.257,0
Fproy,0.32125,0
SBdeple,0.99691,0.00037299
SBdeple,0.94386,0.006862
SBdeple,0.85073,0.018756
SBdeple,0.78999,0.020715
SBdeple,0.74162,0.020604
SBdeple,0.68692,0.021474
SBdeple,0.71413,0.021517
SBdeple,0.68155,0.0208
SBdeple,0.66361,0.019577
SBdeple,0.69263,0.021437
SBdeple,0.59771,0.023009
SBdeple,0.53891,0.02626
SBdeple,0.44324,0.025188
SBdeple,0.45207,0.027926
SBdeple,0.37763,0.026364
SBdeple,0.31372,0.023476
SBdeple,0.30423,0.022932
SBdeple,0.28767,0.021685
SBdeple,0.35352,0.025954
SBdeple,0.34116,0.02583
SBdeple,0.36536,0.027868
SBdeple,0.33401,0.02673
SBdeple,0.34321,0.027545
SBdeple,0.31397,0.026225
SBdeple,0.35127,0.028656
SBdeple,0.34989,0.0285
SBdeple,0.34707,0.028194
SBdeple,0.34496,0.027646
SBdeple,0.34837,0.027227
SBdeple,0.34896,0.026915
SBdeple,0.34741,0.026739
SBdeple,0.34627,0.026927
SBdeple,0.34504,0.02741
SBdeple,0.34246,0.028127
SBdeple,0.34826,0.029186
SBdeple,0.34971,0.03033
SBdeple,0.35,0.031548
SBdeple,0.3602,0.033194
SBdeple,0.36579,0.035025
SBdeple,0.35807,0.036736
SBdeple,0.34873,0.038524
SBdeple,0.33004,0.040598
SBdeple,0.31051,0.043011
sprdeple,2639.9,0.9877
sprdeple,2393.8,511.49
sprdeple,2271.5,487.82
sprdeple,2098,444.98
sprdeple,2196.4,472.61
sprdeple,2309,506
sprdeple,2505,536.38
sprdeple,2493.5,516.72
sprdeple,2243,430.25
sprdeple,2380.4,435.8
sprdeple,1994,348.78
sprdeple,1837.7,313.11
sprdeple,1601.2,273.29
sprdeple,1551.2,252.92
sprdeple,1260.3,206.09
sprdeple,1035.1,170.69
sprdeple,957.47,155.37
sprdeple,894.07,144.92
sprdeple,1107.9,178.76
sprdeple,1014.8,161.2
sprdeple,1078.7,169.38
sprdeple,931.51,143.41
sprdeple,985.72,150.9
sprdeple,897.93,136.56
sprdeple,1054,158.95
sprdeple,1072.1,161.45
sprdeple,1129.9,173.86
sprdeple,1204.2,192.08
sprdeple,1238.7,203.01
sprdeple,1275.8,218.54
sprdeple,1360,249.85
sprdeple,1371.5,268.29
sprdeple,1554.7,340.47
sprdeple,1593.2,383.3
sprdeple,1498.8,387.81
sprdeple,1508.6,431.89
sprdeple,1465,461.21
sprdeple,1515,522.19
sprdeple,1529.9,565.02
sprdeple,1444.2,558.09
sprdeple,1383.6,549.03
sprdeple,1298.8,523.55
sprdeple,1244.7,506.27
Bdepl,0.99691,0.00037299
Bdepl,0.94386,0.006862
Bdepl,0.85073,0.018756
Bdepl,0.78999,0.020715
Bdepl,0.74162,0.020604
Bdepl,0.68692,0.021474
Bdepl,0.71413,0.021517
Bdepl,0.68155,0.0208
Bdepl,0.66361,0.019577
Bdepl,0.69263,0.021437
Bdepl,0.59771,0.023009
Bdepl,0.53891,0.02626
Bdepl,0.44324,0.025188
Bdepl,0.45207,0.027926
Bdepl,0.37763,0.026364
Bdepl,0.31372,0.023476
Bdepl,0.30423,0.022932
Bdepl,0.28767,0.021685
Bdepl,0.35352,0.025954
Bdepl,0.34116,0.02583
Bdepl,0.36536,0.027868
Bdepl,0.33401,0.02673
Bdepl,0.34321,0.027545
Bdepl,0.31397,0.026225
Bdepl,0.35127,0.028656
Bdepl,0.34989,0.0285
Bdepl,0.34707,0.028194
Bdepl,0.34496,0.027646
Bdepl,0.34837,0.027227
Bdepl,0.34896,0.026915
Bdepl,0.34741,0.026739
Bdepl,0.34627,0.026927
Bdepl,0.34504,0.02741
Bdepl,0.34246,0.028127
Bdepl,0.34826,0.029186
Bdepl,0.34971,0.03033
Bdepl,0.35,0.031548
Bdepl,0.3602,0.033194
Bdepl,0.36579,0.035025
Bdepl,0.35807,0.036736
Bdepl,0.34873,0.038524
Bdepl,0.33004,0.040598
Bdepl,0.31051,0.043011
